####################
Type: org.eclipse.emf.ecore.EClass
Counter: 2
####################
 
 > Type: org.eclipse.emf.ecore.EClass  > Name: CompoundTask  > Differences: 106  > Submatches: 53 
 > Type: org.eclipse.emf.ecore.EClass  > Name: SwappingProcess  > Differences: 182  > Submatches: 91 
####################
Type: org.eclipse.emf.ecore.EReference
Counter: 306
####################
 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: sender  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: sender  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: referenceTo  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: referenceTo  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: sender  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: sender  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: referenceTo  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: referenceTo  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: sender  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: sender  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: referenceTo  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: referenceTo  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: sender  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: sender  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: referenceTo  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: referenceTo  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: sender  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: sender  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: referenceTo  > Differences: 1  > Submatches: 0 
